Date,Location ISO Code,Location,New Cases,New Deaths
26/03/20,ID-SB,Sumatera Barat,3,0
26/03/20,ID-SU,Sumatera Utara,0,0
27/03/20,ID-AC,Aceh,3,0
27/03/20,ID-BT,Banten,25,0
27/03/20,ID-JK,DKI Jakarta,69,8
27/03/20,ID-YO,Daerah Istimewa Yogyakarta,1,0
27/03/20,IDN,Indonesia,153,9
27/03/20,ID-JB,Jawa Barat,26,3
27/03/20,ID-JT,Jawa Tengah,4,0
27/03/20,ID-JI,Jawa Timur,7,0
27/03/20,ID-KT,Kalimantan Tengah,0,0
27/03/20,ID-KI,Kalimantan Timur,0,0
27/03/20,ID-LA,Lampung,1,0
27/03/20,ID-MA,Maluku,0,0
27/03/20,ID-MU,Maluku Utara,0,0
27/03/20,ID-PA,Papua,0,0
27/03/20,ID-PB,Papua Barat,2,0
27/03/20,ID-SN,Sulawesi Selatan,2,0
27/03/20,ID-ST,Sulawesi Tengah,0,0
27/03/20,ID-SG,Sulawesi Tenggara,0,0
27/03/20,ID-SB,Sumatera Barat,2,0
27/03/20,ID-SU,Sumatera Utara,0,1
28/03/20,ID-AC,Aceh,1,0
28/03/20,ID-BT,Banten,10,0
28/03/20,ID-JK,DKI Jakarta,42,9
28/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
28/03/20,IDN,Indonesia,109,15
28/03/20,ID-JB,Jawa Barat,22,2
28/03/20,ID-JT,Jawa Tengah,12,1
28/03/20,ID-JI,Jawa Timur,11,0
28/03/20,ID-KT,Kalimantan Tengah,1,0
28/03/20,ID-KI,Kalimantan Timur,5,0
28/03/20,ID-KU,Kalimantan Utara,2,0
28/03/20,ID-LA,Lampung,0,0
28/03/20,ID-MA,Maluku,0,0
28/03/20,ID-MU,Maluku Utara,0,0
28/03/20,ID-PA,Papua,0,0
28/03/20,ID-PB,Papua Barat,0,0
28/03/20,ID-SR,Sulawesi Barat,1,0
28/03/20,ID-SN,Sulawesi Selatan,3,0
28/03/20,ID-ST,Sulawesi Tengah,1,0
28/03/20,ID-SG,Sulawesi Tenggara,0,0
28/03/20,ID-SB,Sumatera Barat,0,0
28/03/20,ID-SS,Sumatera Selatan,1,0
28/03/20,ID-SU,Sumatera Utara,0,0
29/03/20,ID-AC,Aceh,0,0
29/03/20,ID-BA,Bali,1,0
29/03/20,ID-BT,Banten,2,2
29/03/20,ID-JK,DKI Jakarta,51,10
29/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
29/03/20,IDN,Indonesia,130,12
