Date,Location ISO Code,Location,New Cases,New Deaths
26/03/20,ID-SB,Sumatera Barat,0,3
26/03/20,ID-SU,Sumatera Utara,0,0
27/03/20,ID-AC,Aceh,0,3
27/03/20,ID-BT,Banten,0,25
27/03/20,ID-JK,DKI Jakarta,8,69
27/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,1
27/03/20,IDN,Indonesia,9,153
27/03/20,ID-JB,Jawa Barat,3,26
27/03/20,ID-JT,Jawa Tengah,0,4
27/03/20,ID-JI,Jawa Timur,0,7
27/03/20,ID-KT,Kalimantan Tengah,0,0
27/03/20,ID-KI,Kalimantan Timur,0,0
27/03/20,ID-LA,Lampung,0,1
27/03/20,ID-MA,Maluku,0,0
27/03/20,ID-MU,Maluku Utara,0,0
27/03/20,ID-PA,Papua,0,0
27/03/20,ID-PB,Papua Barat,0,2
27/03/20,ID-SN,Sulawesi Selatan,0,2
27/03/20,ID-ST,Sulawesi Tengah,0,0
27/03/20,ID-SG,Sulawesi Tenggara,0,0
27/03/20,ID-SB,Sumatera Barat,0,2
27/03/20,ID-SU,Sumatera Utara,1,0
28/03/20,ID-AC,Aceh,0,1
28/03/20,ID-BT,Banten,0,10
28/03/20,ID-JK,DKI Jakarta,9,42
28/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
28/03/20,IDN,Indonesia,15,109
28/03/20,ID-JB,Jawa Barat,2,22
28/03/20,ID-JT,Jawa Tengah,1,12
28/03/20,ID-JI,Jawa Timur,0,11
28/03/20,ID-KT,Kalimantan Tengah,0,1
28/03/20,ID-KI,Kalimantan Timur,0,5
28/03/20,ID-KU,Kalimantan Utara,0,2
28/03/20,ID-LA,Lampung,0,0
28/03/20,ID-MA,Maluku,0,0
28/03/20,ID-MU,Maluku Utara,0,0
28/03/20,ID-PA,Papua,0,0
28/03/20,ID-PB,Papua Barat,0,0
28/03/20,ID-SR,Sulawesi Barat,0,1
28/03/20,ID-SN,Sulawesi Selatan,0,3
28/03/20,ID-ST,Sulawesi Tengah,0,1
28/03/20,ID-SG,Sulawesi Tenggara,0,0
28/03/20,ID-SB,Sumatera Barat,0,0
28/03/20,ID-SS,Sumatera Selatan,0,1
28/03/20,ID-SU,Sumatera Utara,0,0
29/03/20,ID-AC,Aceh,0,0
29/03/20,ID-BA,Bali,0,1
29/03/20,ID-BT,Banten,2,2
29/03/20,ID-JK,DKI Jakarta,10,51
29/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
29/03/20,IDN,Indonesia,12,130
29/03/20,ID-JB,Jawa Barat,2,31
29/03/20,ID-JT,Jawa Tengah,2,7
29/03/20,ID-JI,Jawa Timur,3,12
29/03/20,ID-KB,Kalimantan Barat,0,5
29/03/20,ID-KT,Kalimantan Tengah,0,0
29/03/20,ID-KI,Kalimantan Timur,0,0
29/03/20,ID-KU,Kalimantan Utara,0,0
29/03/20,ID-LA,Lampung,0,0
29/03/20,ID-MA,Maluku,0,0
29/03/20,ID-MU,Maluku Utara,0,0
29/03/20,ID-PA,Papua,0,2
29/03/20,ID-PB,Papua Barat,0,0
29/03/20,ID-RI,Riau,0,1
29/03/20,ID-SR,Sulawesi Barat,0,0
29/03/20,ID-SN,Sulawesi Selatan,0,15
29/03/20,ID-ST,Sulawesi Tengah,0,0
29/03/20,ID-SG,Sulawesi Tenggara,0,0
29/03/20,ID-SB,Sumatera Barat,0,0
29/03/20,ID-SS,Sumatera Selatan,0,0
29/03/20,ID-SU,Sumatera Utara,0,0
30/03/20,ID-AC,Aceh,0,0
30/03/20,ID-BA,Bali,0,9
30/03/20,ID-BT,Banten,0,22
30/03/20,ID-JK,DKI Jakarta,7,31
30/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,1
30/03/20,IDN,Indonesia,8,129
30/03/20,ID-JA,Jambi,0,1
30/03/20,ID-JB,Jawa Barat,0,25
30/03/20,ID-JT,Jawa Tengah,1,14
30/03/20,ID-JI,Jawa Timur,1,1
30/03/20,ID-KB,Kalimantan Barat,0,1
30/03/20,ID-KS,Kalimantan Selatan,0,5
30/03/20,ID-KT,Kalimantan Tengah,0,0
30/03/20,ID-KI,Kalimantan Timur,0,0
30/03/20,ID-KU,Kalimantan Utara,0,0
30/03/20,ID-BB,Kepulauan Bangka Belitung,0,1
30/03/20,ID-KR,Kepulauan Riau,2,1
30/03/20,ID-LA,Lampung,1,4
30/03/20,ID-MA,Maluku,0,0
30/03/20,ID-MU,Maluku Utara,0,0
30/03/20,ID-PA,Papua,0,0
30/03/20,ID-PB,Papua Barat,0,0
30/03/20,ID-RI,Riau,0,1
30/03/20,ID-SR,Sulawesi Barat,0,0
30/03/20,ID-SN,Sulawesi Selatan,2,4
30/03/20,ID-ST,Sulawesi Tengah,0,0
30/03/20,ID-SG,Sulawesi Tenggara,0,0
30/03/20,ID-SB,Sumatera Barat,0,3
30/03/20,ID-SS,Sumatera Selatan,0,0
30/03/20,ID-SU,Sumatera Utara,0,6
31/03/20,ID-AC,Aceh,0,0
31/03/20,ID-BA,Bali,0,0
31/03/20,ID-BT,Banten,8,14
31/03/20,ID-BE,Bengkulu,1,1
31/03/20,ID-JK,DKI Jakarta,9,42
31/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,5
31/03/20,IDN,Indonesia,14,114
31/03/20,ID-JA,Jambi,0,0
31/03/20,ID-JB,Jawa Barat,0,9
31/03/20,ID-JT,Jawa Tengah,2,12
31/03/20,ID-JI,Jawa Timur,2,2
